"film_id","langue_code","resume"
"46b5ed45-a5bd-4f51-8f0a-54e647ebc7ce",fra,"Morlar est un être étrange, apparemment immortel. Tous ceux qui lui causent du tort meurent mystérieusement. Il prétend également détenir des pouvoirs paranormaux et devant l'incrédulité des médecins et de la police, décide de le prouver en provoquant une catastrophe aérienne."
"22038333-cf97-4ff0-bb8c-1c418370f2a8",fra,"Il y a 15 ans, dans une petite ville des États-Unis, le soir d’Halloween, au cours de laquelle les enfants ont l’habitude de se déguiser, un petit garçon, Michael, épie sa sœur et son ami qui flirtent. Michael les suit et, armé d’un couteau de cuisine, assassine la jeune fille. Quinze ans plus tard, un psychiatre, le docteur Loomis qui étudie le cas du jeune meurtrier apprend que le criminel s’est échappé : il est revenu sur les lieux de son crime pour continuer son œuvre…"
"24c952a2-3133-4767-86f5-e0082341b124",fra,"Apprenant que sa femme Barbara, une riche héritière, a été kidnappée, Sam Stone n'envisage pas de payer la rançon."
ace1de16-80cc-4094-b70a-94401c7d049e,fra,"1936. Parti à la recherche d’une idole sacrée en pleine jungle péruvienne, l’aventurier Indiana Jones échappe de justesse à une embuscade tendue par son plus coriace adversaire: le Français René Belloq. Revenu à la vie civile à son poste de professeur universitaire d’archéologie, il est mandaté par les services secrets et par son ami Marcus Brody, conservateur du National Museum de Washington, pour mettre la main sur le Médaillon de Râ, en possession de son ancienne amante Marion Ravenwood, désormais tenancière d’un bar au Tibet. Cet artefact égyptien serait en effet un premier pas sur le chemin de l’Arche d’Alliance, celle‐là même où Moïse conserva les Dix Commandements. Une pièce historique aux pouvoir inimaginables dont Hitler cherche à s’emparer."
"6d02e5b2-c17b-4d89-9f7c-c626136f0a57",fra,"Crocodile Dundee alias Michael J. est un aventurier qui hante les vastes étendues du Bush australien : repas de lézards, larves et fourmis, rencontres inopinées avec des serpents et crocodiles… Élevé par une tribu d’aborigènes, il « zone » dans ces terrifiantes contrées comme un poisson dans l’eau. Sue Charlton, ambitieuse journaliste américaine, découvre l’homme sauvage et veut à tout prix faire un scoop. Elle finit par le rencontrer, l’emmène à New York, succombe à ses charmes et le suit pour le meilleur et pour le pire…"
b9eaf0c7-062e-4a1c-8431-f51b31088290,fra,"Dans ce film, Burt Reynolds est un aventurier qui décide de participer à une course de voiture illégale à travers tout le pays. Leurs coureurs devront tout faire pour surmonter les difficultés (y compris la police) et gagner la course."
"80c07340-a069-476a-a0a0-2460dc69b3cc",fra,"Les aventures du baroudeur Jack Burton à Chinatown, où règne le terrible sorcier Lo Pan. Celui-ci pense pouvoir retrouver son enveloppe charnelle grâce aux beaux yeux verts de Miao Yin, délicieuse Chinoise fiancée à un ami de Jack…"
e8f50c9e-8e3c-4b73-9e92-562bf984113a,fra,"Deux employés d'un entrepôt de produits médicaux libèrent par inadvertance un gaz toxique ramenant un mort à la vie. Pour se débarrasser de ce cadavre réanimé, ils l'incinèrent. Malheureusement, le nuage de fumée crée une pluie étrange qui s'abat sur le cimetière voisin..."
"7abca311-7572-49bb-8565-e3648fcb1989",fra,"Jeff Lebowski, prénommé le Duc, est un paresseux qui passe son temps à boire des coups avec son copain Walter et à jouer au bowling, jeu dont il est fanatique. Un jour deux malfrats le passent à tabac. Il semblerait qu’un certain Jackie Treehorn veuille récupérer une somme d’argent que lui doit la femme de Jeff. Seulement Lebowski n’est pas marié. C’est une méprise, le Lebowski recherché est un millionnaire de Pasadena. Le Duc part alors en quête d’un dédommagement auprès de son richissime homonyme…"
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,fra,"Deux frères, Stephen et Brian McCaffrey, se destinent au métier de pompiers après avoir assisté à la mort tragique de leur père, officier d'élite de la 17e caserne des sapeurs-pompiers de Chicago. Vingt ans plus tard, si Stephen est devenu un pompier émérite, Brian vit de petits boulots. De retour à Chicago, il décide néanmoins de reprendre son entrainement sous l’œil sceptique de son frère.Mais celui-ci doit également se concentrer sur une nouvelle vague d'incidents criminels qui frappent la ville : des flammes éclairs, des backdraft, ces incendies qui s'éteignent d'eux-mêmes dans le propre souffle de leur explosion, terrassent un à un d'anciens collaborateurs du maire..."
"84ed3f64-88ea-4e96-a670-0f3095ececf2",fra,"Deux flics que tout oppose sont victimes d'une machination fomentée par un baron de la drogue. Pour se disculper, ils doivent mettre fin aux activités du trafiquant."
"6277443a-d0cc-4c54-bcde-3f43c896503d",fra,"Phil Connors, présentateur météo grincheux et arrogant, doit tourner un reportage sur la fête de la marmotte. Mais lorsqu'il se réveille le lendemain, il découvre avec stupeur que la date n'a pas changé et qu'il est condamné à revivre un par un les événements de la veille. Connors se voit dès lors obligé de faire face à la répétition infinie du Jour de la marmotte."
"6076c30d-c5ab-4e95-971a-425f2f4aa075",fra,"Un psychopathe connu sous le nom de Buffalo Bill sème la terreur dans le Middle West en kidnappant et en assassinant de jeunes femmes. Clarice Starling, une jeune agent du FBI, est chargée d’interroger l’ex‐psychiatre Hannibal Lecter. Psychopathe redoutablement intelligent et porté sur le cannibalisme, Lecter est capable de lui fournir des informations concernant Buffalo Bill ainsi que son portrait psychologique. Mais il n’accepte de l’aider qu’en échange d’informations sur la vie privée de la jeune femme. Entre eux s’établit un lien de fascination et de répulsion."
bd4537b9-afdc-494d-ac70-76cab133fa4c,fra,"Tout va mal pour nos deux héros. S’il ne veut pas finir en prison, Jack le flic, doit trouver rapidement le dangereux malfrat Iceman. Quant à Reggie, le voyou, il finit un séjour derrière les barreaux. Et Iceman a mis sa tête à prix. Pour preuve, l’autobus qui l’éloigne du pénitencier est attaqué et fait dix‐sept tonneaux avant de s’arrêter. A contrecoeur, Reggie s’allie à Jack pour 48 heures de plus…"
eb4c69f6-9fa5-4eb7-9a16-0259a9eac719,fra,"En 1985, Marty, un adolescent comme les autres, mène une existence morne et ennuyeuse. Heureusement, il est épris de la jolie Jennifer et entretient une profonde amitié avec Doc, un savant fou qui prétend avoir inventé une machine à explorer le temps. Un jour, Doc invite Marty à l'essayer..."
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,fra,"Le Major Dutch Schaefer et son équipe sont envoyés dans la jungle sud-américaine avec pour mission de délivrer des alliés pris en otage par une bande de guérilleros. Mais pendant l'opération, Dutsch et ses hommes s'aperçoivent que les preneurs d'otages ont été... dépecés et suspendus à la plus haute cime des arbres. Très vite, le commando comprend qu'il a en face de lui un ennemi hors du commun. Un monstre invisible et indestructible venu d'une autre planète. Un extraterrestre rompu à toutes les formes d'attaques et qui ne poursuit qu'un seul but : la chasse à l'être humain. Schaefer et sa troupe sont pour lui du gibier de premier choix."
"9b4a8296-c6fe-40c6-b1c5-9807b2004976",fra,"Chauffeur routier solitaire, Lincoln Hawk est rongé par un divorce et par la culpabilité d'avoir abandonné un fils Michael qu'il n'a jamais vu. Lorsque Lincoln, sur les conseils de son ex-femme, part chercher son fils à l'Académie Militaire, il se cogne à l'agressivité de ce dernier. Pour Lincoln, le seul moyen de prouver à son fils, et à lui-même, qui il est réellement, c'est de remporter le championnat du monde de bras de fer de Las Vegas !"
dc18e978-7d17-4d05-ac8e-678a609fbcc7,fra,"Des séquelles physiques irréversibles amènent Rocky Balboa à prendre sa retraite. Ruiné, il devient l'entraîneur d'un champion en devenir, Tommy Gunn. Mais celui-ci ne va pas rester insensible à l'appât du gain et va quitter Rocky pour rejoindre les rangs d'un coach plus fortuné."
"6e76b203-3e19-4f72-9980-92752d48809a",fra,"Jeune as du pilotage et tête brûlée d'une école réservée à l'élite de l'Aéronavale américaine, la fameuse « Top Gun », Pete Mitchell, dit Maverick, tombe sous le charme d'une instructrice alors qu'il est en compétition pour le titre du meilleur pilote…"
"8a973d17-fccf-4240-8157-573db91eaa6c",fra,"Apollo Creed, ancien adversaire et dorénavant ami de Rocky Balboa, est tué sur le ring par le boxeur russe Ivan Drago. Se reprochant de n'avoir pu sauver son camarade à temps, Rocky va demander un combat contre Ivan Drago afin de le venger. Une confrontation qui se déroulera sur le sol russe."
cb500bc6-ef03-4205-86fe-33d0c6d2ec11,fra,"Un jeune curieux s'installe à Salem, où il a du mal à s'intégrer avant de réveiller un trio de sorcières diaboliques qui ont été exécutées au 17ème siècle."
"0855b28a-f73d-4302-8d48-2a2353d08321",fra,"Axel Foley est de retour à Beverly Hills. Cette fois, il vient prêter main forte à ses collègues et amis pour résoudre une affaire de vol de bijoux."
eaf58060-210e-465a-92e4-eed803451813,fra,"Auteur de romans d'horreur et vétéran de la Guerre du Vietnam, Roger Cobb s'installe dans un vieille demeure léguée par sa tante. Mais il est très vite poursuivi par armée de fantômes dirigé par Ben, un ancien du Vietnam abandonné par Roger."
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,fra,"Le Colonel Trautman contacte Rambo dans sa retraite en Thaïlande pour qu'il l'accompagne dans une mission périlleuse en Afghanistan. Mais l'ex-soldat refuse afin de se consacrer aux moines bouddhistes qui l'ont recueilli. Lorsque, quelques jours plus tard, l'agent Griggs lui explique que Trautman a été capturé par le Colonel Zaysen, Rambo décide de sauver son ami. Il s'infiltre dans les lignes ennemies et découvre toute l'horreur du conflit qui oppose les moudjahidin à l'armée soviétique. Déterminé, il s'attaque à toute une armée sans oublier son objectif premier : récupérer Trautman."
"520d36be-24be-4e74-857d-c27b2f9e1f83",fra,"À l'aube de l'an 2000, Détroit est, comme toujours dans cette sorte d'histoire, la proie du crime et de la corruption. Pour pallier ce terrible état, les services de police inventent une nouvelle arme infaillible, Robocop, mi-homme, mi-robot, policier électronique de chair et d'acier qui a pour mission de sauvegarder la tranquillité de la ville. Mais comme souvent, ce cyborg a aussi une âme."
"2ed1d67e-a806-4e35-b625-ca2b029e366c",fra,L'université d'Arkham accueille un nouvel élève en médecine en la personne d'Herbert West. Celui-ci veut redonner vie aux morts...
a09cc505-1e03-49ec-9500-63478944a532,fra,"Un groupe de vingt personnes arrive exténué dans un club situé en Afrique pour passer quelques jours de repos. Et ils sont bien décidés à rentabiliser au maximum leurs vacances. C’est ainsi que nous suivrons les aventures tragi‐comiques de la colérique Nathalie, de Gigi, de Jérôme le sûr‐de‐lui, Christiane, le malchanceux Jean‐Claude, et bien‐sûr celles des G.O. (gentils organisateurs). Nouvelles rencontres, liaisons momentanées, petits et grands drames seront au programme…"
"43cf3e92-abba-4b8a-aaeb-b9b124458ea3",fra,"Vada Sultenfuss pourrait être une petite fille brillante et dynamique de 11 ans, mais avec sa mère morte en couches et son père Harry entrepreneur de pompes funèbres que plus rien n'intéresse depuis, Vania est complètement obsedée par la mort. Et l'arrivée de Shelly, une esthéticienne pour cadavres, dont Harry va peu à peu tomber amoureux, ne lui plaît pas d'avantage..."
bb73a806-7713-47b3-8355-b4151511a743,fra,"Les krits, aliens en forme de boules de poils, aux dents acérées et criminels intergalactiques, réussissent à s'évader de leur prison de l'espace à bord d'un vaisseau spatial. A leurs trousses, deux chasseurs de prime extra-terrestres qui ont la faculté de changer de visage. Tout ce petit monde atterrit dans le Kansas, non loin de la ferme de la famille Brow. Leur première victime : une vache. Mais peu à peu, ils vont prendre goût à la chair humaine."
"4d53ce95-43bf-4cfa-9f09-4f1520a006ed",fra,"Un orage magnétique déclenche à nouveau l'horreur sur la famille Freeling qui, une fois de plus, est la proie des Poltergeist..."
fe63a509-ad1d-4960-b4a9-b704a6aa9ea0,fra,"Vic, treize ans, inscrite au lycée Henri-IV, est à l'âge des premières sorties et des premiers émois. Vic n'a guère l'occasion de parler avec ses parents, trop occupés par leur carrière respective, et dont le couple subit les assauts classiques du temps. Elle se confie donc à son arrière-grand-mère, la pétillante Poupette, ou à sa meilleure amie, Pénélope. Elle partagera donc avec elles son amour pour le beau Mathieu. Mais cet amour-là aussi connaîtra quelques difficultés..."
d765d21d-1675-46ad-a107-13461fc86157,fra,"Dans un futur proche, la terre est surpeuplée. Une loi a été instaurée : il est devenu interdit d'avoir plus d'un enfant. Pour avoir enfreint cette règle car leur premier enfant est mort, le capitaine John Brennick et sa femme, deux commandos bérets noirs, sont incarcérés dans une gigantesque prison souterraine : la Forteresse. S'évader de ce centre carcéral ultra-sophistiqué semble impossible..."
"51fecd44-437f-490e-9bcd-e3a386e95932",fra,"La fille du Grand PDG Bens est tellement malchanceuse qu’elle se fait enlever alors qu’elle est en vacances au Mexique. Pour la retrouver, son père engage le détective privé Campana qu’il associe à un gaffeur invétéré dans l’espoir qu’il le rapproche de sa fille…"
"33569568-7c3e-4baa-84a8-cae15dca2350",fra,"Après le Club Méditerranée, la joyeuse troupe d’amis (plus connue sous le nom des Bronzés) se retrouvent aux sports d’hiver. Ils vivront encore d’autres problèmes sentimentaux et mésaventures. L’équipe ira même se perdre en montagne."
"540ef20e-292e-49ec-b2c4-584501eef931",fra,"JC et Stef sont des amis d'enfance. Inséparables. JC est LE dikkenek belge, un donneur de leçon à cinq balles, un moralisateur, un tombeur de minettes, bref une grande gueule intégrale, coiffé comme un peigne. Stef est tout le contraire. Il cherche le Grand Amour, mais vu qu'il ne bouge pas de son lit, il va avoir du mal à trouver. JC lui explique donc la méthode : faire un sans-faute du point A jusqu'au point G. Entre ces deux points, JC et Stef vont croiser : Claudy, le directeur des abattoirs d'Anderlecht et photographe amateur (de chair fraîche), Greg, un bébé-manager vissé à son portable, Natacha, une nymphette désœuvrée, Fabienne, une pauvre petite fille de riches, Nadine, une institutrice qui préfère la schnouf aux tables de multiplication, ainsi que Laurence, une commissaire de police fâchée avec les conjugaisons, qui ponctue ses phrases à coups de gros calibre."
"6931e7d6-7d10-4454-8101-3a11734fbdfd",fra,Des aventuriers partent à la recherche d'un ancien temple renfermant une grande quantité d'or.
f851fa63-1c5d-473d-9405-375675a20771,fra,"Sur les autoroutes désertées d'une Australie méconnaissable, une guerre sans merci oppose motards hors-la-loi et policiers Interceptor, qui tentent de triompher de la vermine au volant de voitures aux moteurs surgonflés. Dans ce monde en pleine décadence, les bons, les méchants, le manichéisme disparaissent..."
d9e484d0-3dcc-49b8-b4bb-c2babe11b19e,fra,"Ted Masters, un pilote américain est abattu lors d'une mission au Moyen-Orient. Son fils Doug, aidé d'un vétéran de l'US Air Force monte une opération secrète pour le délivrer."
"110d3753-c18e-45b8-9f4d-cf2736abe00a",fra,"Chappy Sinclair, pilote et instructeur chevronné de l'US Air Force, évite la retraite en s'engageant dans la troupe d'un cirque aérien. Ils s'appellent, pour le bonheur des petits et des grands, l'équipe des As. C'est alors qu'un ancien élève de Chappy, d'origine péruvienne, est tué dans le crash de son jet bourré de cocaine. Chappy est persuadé que son élève n'est pas un trafiquant. Les As vont tenter de l'innocenter."
"0e872cc4-c429-428c-8c71-a62fb4c24c96",fra,"Près de la Libye, un pays s'apprête à activer un site de missiles nucléaires capable de frapper à la fois l'Union Soviétique et les Etats-Unis. Charles Sinclair est appelé pour rassembler une force mi-soviétique mi-américaine pour défendre le site. La coopération entre les deux groupes s'opèret difficilement tandis que Chappy Sinclair découvre que quelqu'un du Pentagone s'efforce de saboter sa mission."
fb855bea-eec0-4204-be37-7986abaf6887,fra,"Joe Armstrong, un soldat américain, stationne aux Philippines. Il y affronte une organisation de ninjas, qui vole les armes de l'armée."
"96222ab6-29a3-4043-b5c2-a90a386c0d97",fra,"Après avoir vu son meilleur ami se faire tuer et sa maison détruite, un ex-agent de la CIA reprend du service pour éliminer une redoutable bande de terroristes contrôlée par le machiavélique Rostov."
da9120a9-5384-4692-8032-b7297dcf0250,fra,"Matt Hunter, un ancien agent spécial, fait échouer un attentat contre Larry Richards, l'un de ses amis candidat au sénat, et devient la cible prioritaire d'une organisation terroriste. Ce groupe d'extrême droite, le Pentangle, a établi ses quartiers dans les marais de Louisiane et vise l'élimination de tous les adversaires politiques. Le groupe fait enlever la soeur de Matt et ce dernier est décidé à leur faire payer très cher cette erreur. Rien ni personne ne pourra l'empêcher d'atteindre l'objectif qu'il s'est désormais fixé !"
"0bed1543-84ac-4c53-be68-43299ced4897",fra,"Platoon Leader : Vietnam, années 70: fraichement débarqué des Etats-Unis, le jeune lieutenant Jeff Knight est accueilli avec méfiance et cynisme par les soldats américains du camp de Troug Lam, base stratégique convoitée par les troupes vietcong. Encore inexpérimenté, Knight va faire le dur apprentissage de la guerre au cours d'attaques-surprises et d'affrontements sanglants avec l'ennemi, mais surtout, il va lui falloir gagner le respect de ses hommes..."
a4bd9509-19e3-476d-848d-518ad20b742c,fra,"Lorsque la carrière de sa mère l'entraîne à Benjing en Chine, le jeune Dre Parker doit faire face à des changements radicaux. Au bout de quelques jours, il se retrouve mêlé à une altercation au sein de son école, impliquant Cheng, l'un des garçons les plus doués en Kung Fu et qui lui fait définitivement perdre le respect de ses camarades de classe.Témoin de cet affrontement, M. Han, professeur de Karaté à la retraite, embauché par les Parker comme chauffeur et assistant, décide d'aider Dre à regagner le respect de son entourage."
bda4765b-36ed-4693-b2af-e3d2ecec462b,fra,"Lorsqu'un avion de tourisme américain est détourné sur Beyrouth par de dangereux terroristes, le président des Etats-Unis n'a qu'une solution: faire appel à la Delta Force, une équipe de commando super entraînée emmenée par le Major Scott Mc Coy et le colonel Nick Alexander. L'équipe parvient rapidement à libérer les otages. Mais la mission n'est pas terminée pour autant car un petit groupe de passagers a été conduit à Téhéran. Commence alors pour Mc Coy et Alexander une épuisante course contre la montre pour tenter de sauver les otages et venger l'honneur des Etats-Unis avant qu'il ne soit trop tard !"
"4e7872c0-5351-471d-b26f-27a6f90fdfed",fra,"Le soldat Joe Armstrong et le sergent Curtis Jackson débarquent sur l'île de Saint Thomas, dans les Caraïbes. Ils ont pour mission Top Secrète d'enquêter sur plusieurs disparitions mystérieuses de soldats américains... Très rapidement, Joe Armstrong et Curtis Jackson découvrent l'existence d'une base secrète où les militaires disparus sont reconditionnés pour devenir de redoutables guerriers Ninjas. Spécialement entrainés ils sèment la mort partout sur leur passage !"
"318660da-1c50-40f0-9f4c-2291ec6ee0c6",fra,"Un journaliste américain, informé par des écologistes, s'aperçoit qu'une centrale nucléaire fabrique un virus destiné a régler le problème de la surpopulation a la surface du globe."
"3d3ea7a8-8b5b-4392-81bb-d08dde330acc",fra,"Un ancien membre de la CIA, spécialiste des arts martiaux et devenu policier à Chicago, affronte un réseau de trafiquant d'armes lié à la CIA."
"97d149d2-57d0-489c-93e7-6d8adcc0f9f9",fra,"Lion, légionnaire, est stationné dans un poste avancé du désert nord-africain lorsqu'il apprend que son frère, à Los Angeles, est sérieusement blessé. Il déserte pour lui porter secours mais, sans argent, se lance dans les combats de full contact. Lorsqu'il arrive enfin, las, son frère est mort et la veuve refuse sa protection, tandis que deux mercenaires veulent le ramener de force à la Légion."
b657e15a-9e33-4b6a-a39f-2f22d56e1a6f,fra,"Viet-nâm, 1972. Prisonnier du sadique Yin, le colonel Braddock parvient à fuir. Il reviendra pour se venger, mettant ainsi fin au trafic d'opium auquel Yin se livrait."
"428373c3-7ce0-44c2-b46b-3e5ed3c019b3",fra,"Jaffa, leader d'une des organisations extrémistes les plus dangereuses du monde, est arrête lors du mariage de sa fille. Son adjoint, Nagi Hassan, exige sa libération en échange des passagers d'un 747 qu'il a pris en otages. L'avion transporte également un lot de gaz toxique qu'il menace de répandre au-dessus de Washington. Le lieutenant-colonel Austin Travis propose alors d'aborder le 747 au moyen d'un avion furtif expérimental et d'y introduire un commando d’élite charge de neutraliser le terroriste."
"4fbcc3c8-d5cd-481d-8768-71d403cfae3b",fra,"Dans le royaume africain du Zamunda, le prince Akeem fête ses 21 ans. Ses parents lui ont choisi une épouse, mais Akeem souhaite trouver lui-même la femme idéale. En compagnie de son ami Semmi, il se rend à New York, dans le quartier du Queens."
"5df08166-54af-435f-b299-52a0c616e9c0",fra,"Aurora a élevé seule sa fille Emma, excluant tout homme de sa vie. Pourtant, Emma quitte à la première occasion cette mère abusive. Seule, Aurora rencontre alors Garret, qui est un ancien cosmonaute désormais alcoolique... Des liens entre ces deux personnes prennent forme."
"2c24fe5f-8e16-45c0-9f68-3a1340345ab7",fra,"Randle P. McMurphy se fait interner pour échapper à la prison. Il va être touché par la détresse et la solitude des patients. Très rapidement, il comprend que l’infirmière en chef, Mlle Ratched, a imposé des règles strictes et entend bien les faire respecter. Il décide alors de révolutionner ce petit monde, plutôt au départ par jeu."
"7da737c2-e4a7-4a3f-bf85-a8d907e74081",fra,"Lorsque Charley, italien, et Irène, polonaise, se rencontrent, c'est le coup de foudre. Ils s'aiment, ils se marient. L'histoire commence ici. Charley est l’exécuteur d'une des plus célèbres familles de la mafia, les Prizzi, et la belle Irène exerce en free-lance la même dangereuse activité."
"9ceaf448-2e04-494e-9f2b-10515dc90351",fra,"Les amours de passage d'un avocat new-yorkais, heureux mari et père de famille, avec une jeune éditrice célibataire, vont déclencher chez tous les protagonistes une avalanche de drames passionnels."
ef47aa8e-ef25-448d-b1c4-66a760af373c,fra,"François Perrin arrive à Orly avec aux pieds une chaussure marron et l'autre noire.  Une aubaine pour Perrache, adjoint du colonel Toulouse, chef d'un service secret, que ce jeune violoniste fantasque.  Il le choisit pour jouer, à ses dépens, le rôle d'un redoutable espion international.  Toulouse, las de défendre sa place contre son très ambitieux adjoint Milan, a décidé de s'en débarrasser une fois pour toute, en le lançant sur une fausse piste."
"83971939-e7cf-45e3-9a0e-3ed41d1719d2",fra,"Alors que les Allemands occupent la moitié de la France, Marion Steiner ne pense qu'aux répétitions de la pièce qu'elle doit monter au théâtre Montmartre dont elle assure la direction depuis que son mari, Lucas, juif allemand, s'est enfui de Paris. En réalité, Lucas s'est réfugié dans les sous-sols du bâtiment. Chaque soir, Marion lui rend visite et commente avec lui le travail des comédiens, notamment celui du jeune premier de la troupe, Bernard Granger."
"32a0688e-fd48-4429-86c7-2eb77ec82917",fra,"Une nuit d'orage, la voiture de Janet et Brad, un couple coincé qui vient de se fiancer, tombe en panne. Obligés de se réfugier dans un mystérieux château, ils vont faire la rencontre de ses occupants pour le moins bizarres, qui se livrent à de bien étranges expériences."
"8a207a86-2c69-43a7-b7b1-c17f751b8005",fra,"Agent littéraire, Peter Loew est perturbé par la présence d'une chauve-souris dans son appartement. Un soir, il est mordu par une jeune femme qu'il soupçonne d'être un vampire. Dès lors, il se demande s'il n'est pas lui en train de se transformer en vampire..."
"12f4fc21-adc7-410b-8ac9-50f671844240",fra,"Après une déception amoureuse, la jeune Danoise Karen décide de se marier et de s'embarquer pour l'Afrique. Vite délaissée par un mari volage, elle se consacre à la culture des caféiers et fait figure de pionnière. Son amitié pour l'aventurier Denys se transformera en amour mais elle ne saura pas retenir cet homme épris de liberté."
b86408d5-2c5e-42ff-b71f-1f0f816b6dc7,fra,"Les temps sont durs pour les jeunes recrues de l’Académie de Police de New York. Le commandant Lassard s’apprête à prendre sa retraite bien méritée. Avant de laisser sa place à un autre, il décide de lancer un étrange programme d’autodéfense baptisé « Citoyens en patrouille »."
db07a630-e6c9-49ca-8a02-2130a0e57490,fra,"Deux savants, travaillant sur le satellite Saturn 3, sont perturbés par une troisième personne, le capitaine James. Celui-ci se révèle de plus en plus dangereux, et leur impose son robot meurtrier..."
"3b3af8a6-a0b7-46b3-ae3c-110a7d85cdf0",fra,"L'histoire d'un couple de yuppies, les Rose, qui, après une existence qu'ils pensaient heureuse et confortable, se retournent tout à coup l'un contre l'autre, n’omettant aucune bassesse pour se détruire, jusqu'à l'apaisement et la conquête de l'instant de bonheur final."
"96cb8ea6-1d8f-4d18-8371-8c6ff7727001",fra,"Bud Fox est courtier dans une banque d’affaire de Wall Street. Il est ambitieux, un jeune loup aux dents longue qui ne rêve que d’avoir comme client Gordon Gekko, l’un des hommes les plus puissants du monde de la finance. Pour séduire Gekko, Fox lui livre des secrets fournis par son père. Dès lors Gekko le prend sous son aile et l’affranchit aux secrets de la finance de haute volée. Pour Fox, une nouvelle vie commence faite de luxe, d’argent, de filles faciles et d’appartements de grand standing. Mais aussi de corruption, de détournements, de mensonges et de trahisons. Et dans ce monde en guerre, Bud Fox pourrait perdre bien plus que son âme."
"647bf995-3572-4814-a884-d8a700b84358",fra,"Lorsque sa femme meurt, Alexandre décide de se consacrer à sa grande passion: la paresse. Il se couche pour plusieurs semaines. Son chien lui rapporte les provisions que lui sert la jolie Agathe, qui finit par le séduire. Mais, au moment de l'épouser, il se ravise, sa liberté et sa paresse risquant d'être compromises."
"085bec8a-5bc2-43fc-91e9-96f69dd8e502",fra,"Trois mois après la fin de Le Grand Blond avec une chaussure noire, le capitaine Cambrai, qui enquête sur la mort étrange du colonel Milan, intercepte une lettre de François Perrin, qui file le grand amour avec Christine à Rio de Janeiro, dans laquelle il avoue à son ami Maurice la supercherie du colonel Toulouse. Ce dernier, mis en difficulté, doit désormais prouver que le grand blond est bien un super agent secret et non pas un inconnu choisi au hasard."
"8309e00e-76ed-4402-a6ff-fdc24f825506",fra,"Parabole sur l'itinéraire de deux enfants qui naissent en 1900 dans un village d’Émilie. L'un, Olmo Dalco, appartient au milieu des métayers, l'autre, Alfredo Berlinghieri, est le fils du propriétaire."
"80ce536b-4ed7-4e03-860b-11b2e6157d15",fra,"Les aventures du célèbre et turbulent cadet de Gascogne, amoureux de sa cousine, Roxane, vues par le réalisateur de «La vie de château» et le scénariste Jean-Claude Carrière. «Il s'agissait de faire un film. Nous ne pouvions nous contenter d'une simple mise en images de la pièce. Nous voulions donner à cette histoire que nous aimions la dynamique et la tension d'un film. Le vrai pari du film, c'est que les personnages y parlent en vers.»"
"0f320f0e-d8ac-49df-871c-0d741a7ef636",fra,"Ayant autrefois vécu des amours ombrageuses, Bernard et Mathilde, par le plus pur des hasards, se trouvent être voisins. Même s'ils sont mariés tous deux, leurs destins se croisent à nouveau."
"791c2c1c-83cf-4f80-8d85-803e67ef0aa2",fra,"Au début du XXe siècle, à la Nouvelle-Orléans, un photographe et une adolescente qui vit dans une maison close vivent une histoire d'amour passionnée."
"031a2d46-b107-4479-bae6-047b0c8b0468",fra,"À la mort de son père, Charlie Babbitt hérite d'une vieille Buick qu'il convoitait depuis longtemps, mais se voit spolié de quelque trois millions de francs versés à l'Institution psychiatrique Wallbrook au profit d'un bénéficiaire anonyme. Charlie se rend a Wallbrook et découvre l'heureux bénéficiaire. Il s'agit de Raymond, savant autiste, celui qu'il appelait dans son enfance Rain Man, qui représente ses seuls souvenirs heureux et qui n'est autre que son frère."
"0dacccc5-7809-42cc-a4f2-22686b723b2c",fra,"Max Baron, un cadre de 27 ans venant de perdre sa femme, rencontre un soir dans un bar Nora Baker, une femme de 43 ans. Tous les deux tombent amoureux, et ce malgré les différences d'âge et de classes sociales."
"7a089053-1546-4fa8-91dd-9acdb314912c",fra,"David, jeune mathématicien américain, vient habiter avec sa femme dans l'arrière pays anglais pour se concentrer sur ses recherches. Il engage de jeunes ouvriers du village pour réparer la ferme, qui finissent par tourmenter le couple non violent. Cela s'intensifie lorsqu'ils attaquent la ferme après que David a pris la défense d'Henry Niles, l'idiot du village, accusé de meurtre. David met toute son intelligence au service de sa survie ; retranché dans la ferme, il élabore des pièges qui font de lui l’égal de ses assaillants. Ses convictions non violentes et sa répugnance à tuer sont dissipées par les actes qu’il commet."
c289838e-40b5-4a12-938d-a0e8c08df3c2,fra,"L'adolescente Leslie Hindenberg, croyant à tort qu'elle n'a que quelques semaines à vivre, décide qu'elle perdra sa virginité avant de mourir."
"193ad47e-6665-4146-a253-90fe5590a25e",fra,"Un groupe d'amis de la classe ouvrière et amateurs de la chasse aux daims décident de s'enrôler dans l'armée pendant la guerre du Vietnam et découvrent que c'est un chaos infernal – pas la noble aventure qu'ils avaient imaginée. Avant de partir, Steven a épousé sa petite amie enceinte – et Michael et Nick étaient amoureux de la même femme. Mais à leur retour, tous les trois sont des hommes différents."
